year,n1,n2,n3,n4,n5,n6,n7,n8,i
2007,10210,13690,17170,20650,24130,27610,31090,34570,3480
2008,10400,14000,17600,21200,24800,28400,32000,35600,3600
2009,10830,14570,18310,22050,25790,29530,33270,37010,3740
2010,10830,14570,18310,22050,25790,29530,33270,37010,3740
2011,10890,14710,18530,22350,26170,29990,33810,37630,3820
2012,11170,15130,19090,23050,27010,30970,34930,38890,3960
2013,11490,15510,19530,23550,27570,31590,35610,39630,4020
2014,11670,15730,19790,23850,27910,31970,36030,40090,4060
2015,11770,15930,20090,24250,28410,32570,36730,40890,4160
2016,11880,16020,20160,24300,28440,32580,36730,40890,4160
2017,12060,16240,20420,24600,28780,32960,37140,41320,4180
2018,12140,16460,20780,25100,29420,33740,38060,42380,4320
2019,12490,16910,21330,25750,30170,34590,39010,43430,4420
2020,12760,17240,21720,26200,30680,35160,39640,44120,4480
2021,12880,17420,21960,26500,31040,35580,40120,44660,4540
2022,13590,18310,23030,27750,32470,37190,41910,46630,4720
